question,truthValue,snippet,description,results
fortune cooky were invented china,False,,feb 11 2021 tea garden sourced cooky from local bakery called benkyodo which claim have pioneered vanilla butter flavoring ... chinese immigrant david jung founded hong kong noodle company while living los angeles invented cookie 1918. concerned about poor ... jan 6 2008 book story illustration all dated 1878. family japanese chinese immigrant california that claim have invented ... jul 20 2020 chinese immigrant david jung founder hong kong noodle company los angeles made competing claim that invented fortune cookie ... jun 20 2019 believe it not ! tasty fortune cooky that come with chinese take-out were n't invented china . concept for tiny ... e mystery cited 2 however many still hold popular belief that fortune cooky were invented chinese-american named david tsung jung ... one history fortune cookie claim that david jung chinese immigrant living los angeles founder hong kong noodle company invented ... oct 19 2019 meanwhile canton china native david jung had immigrated los angeles 1916 founded hong kong noodle company . claimed ...,857000.0
california is famous state usa .,True,,california is most famous state usa . it is n't biggest state that 's alaska . it ha largest population it 's certainly most ... 2016/11/16 california is most populous state it ha biggest economy any state . it is entertainment capitol country technology innovation ... california is state western united state . california border oregon north nevada arizona east mexican state baja ... california is most famous state usa . it is n't biggest state that 's alaska . it ha largest population it 's certainly most ... california most populous state nation is home hollywood 's star silicon valley 's technology napa valley 's wine ancient redwood ... 2014/12/18 top three california florida nevada while nebraska vermont yea were waaayyy off west virginia rounded out least ... 2018/08/16 we all heard popular state like new york california that draw hundred million tourist every year what about ... california recently landed top spot wallet hub 's most fun state america ranking for second year row edging out new york florida ... 2022/05/26 other popular tourist attraction include fisherman 's wharf ... national park northern california is one united state ' ...,477000000.0
rosa indica is scientific name rose .,True,,rose is either woody perennial flowering plant genus rosa family rosaceae flower it bear . over three hundred specie ... rosa indica l. taxonomic serial no . 504821.rose rosa indica . scientific classification . kingdom plantae . division magnoliophyta . class magnoliopsida . order rosales . family rosaceae.may 9 2022 rosa cymosa is specie climbing rose native china where it grows from east coast fujian western sichuan up 1300 m ... rosa indica is specie rose native southern china northern indo-china taiwan . it is medium sized rose with red semi-double double flowers.last modified 21 november 2019 datasheet type host plant preferred scientific name rosa preferred common name rose taxonomic tree domain eukaryota ... mar 25 2021 botanical name rosa indica family rosaceae rose family synonym rosa x borboniana rosa pannosa ... scientific name indian rose is rosa indica . botanical name soybean is glycine max . soybean is used alternative many dairy products.click on name expand on p for plant profile . rank scientific name common name . kingdom plantae - plants.jun 27 2022 scientific nomenclature plant is rosa indica l. letter ' l ' corresponds ... scientific name mangifera indica l .,911000.0
first living animal sent space were fruit fly,True,,while many flight space may have accidentally carried bacteria other form life on board first living creature intentionally sent space were fruit fly . these were transported aboard v2 rocket on 20 february 1947. while many flight space may have accidentally carried bacteria other form life on board first living creature intentionally sent space were fruit fly . these were transported aboard v2 rocket on 20 february 1947.29.04.2015 though far le famous than later non-human astronaut first animal space were group fruit fly launched altitude ... four monkey flew aboard last bion flight soviet union well frog fruit fly . foton program china launched guinea pig toyohiro ... 27.01.2022 first animal reach space were fruit fly that united state launched aboard captured german rocket 1947. first mammal ... 05.04.2018 howstuffworks look fruit fly were first animal sent outer space . reason might surprise you.it wa 1947 first animal wa put space . perhaps surprisingly it wa humble fruit fly . american scientist were trying establish ... 13.02.2009 these were just suborbital flight though . first animal actually go orbit wa dog laika launched on board soviet sputnik 2 ... 28.12.2013 first animal sent space were fruit fly aboard u.s.-launched v-2 rocket on february 20 1947. purpose experiment wa ... have been several living creature that have gone space ranging from rabbit jellyfish . fruit fly were first 'animals ' space ! it is very ... 23.03.2018 first animal sent space wa guessed it humble fruit fly . colony fly were launched altitude 42 mile on ...,32100000.0
walt disney hold record for most oscar,True,film producer disney hold record for most academy award earned individual having won 22 oscar from 59 nomination . wa presented with two golden globe special achievement award emmy award among other honor . film producer disney hold record for most academy award earned individual having won 22 oscar from 59 nomination . wa presented with two golden globe special achievement award emmy award among other honor .,walt disney 19011966 won received total twenty-six academy award hold record for most academy award history.feb 14 2018 out all nominee academy award history walt disney hold most oscar . disney won 26 oscar over course career wa ... walt disney 190166 won received total twenty-six academy award hold record for most academy award history.walt disney usa received total 64 nomination during career last which won posthumously 1969 for winnie pooh blustery ... disney hold record for most academy award won individual film producer having won 22 oscar from 59 nomination . addition receiving two ... mar 18 2022 with 59 nod walt disney hold record for most oscar nomination . ha second-most with 52walt disney hold record with 59 oscar nomination . ha 2nd most nomination komo staff . wednesday february 24th 2016. userway icon for ...,2710000.0
after drink alcohol it take brain 6 minute start reacting it,True,,only six minute after consuming amount alcohol equivalent three glass beer two glass wine leading blood alcohol level 0.05 0.06 percent change have already taken place brain cell scientist have now shown using magnetic resonance spectroscopy . only six minute after consuming amount alcohol equivalent three glass beer two glass wine leading blood alcohol level 0.05 0.06 percent change have already taken place brain cell scientist have now shown using magnetic resonance spectroscopy . 26.06.200917.06.2009 change take place brain cell after six minute . alcohol go head just six minute scientist have revealed.the stage alcohol intoxication body reacts it can affect brain.alcohol kick pretty quick . 'll typically start feeling effect within about 10 minute depending on strength drink fast ... like all drug alcohol can damage body especially drink heavily every day binge . potential short-term effect alcohol include ... alcohol 101 primer will teach alcohol fact may not know . ... keep mind drove yourself somewhere end up having drink.drinking relieve anxiety discover effect alcohol anxiety might suffer from depression anxiety panic attack after drinking ... what happens drink alcoholic beverage ... amount alcohol blood reach it maximum within 30 45 minute according ... brain it pass quickly bloodstream travel every part body . alcohol affect brain first kidney lung liver ...,15900000.0
sun rise from east set west,True,earth rotates spin toward east that 's sun moon planet star all rise east make way westward across sky . earth rotates spin toward east that 's sun moon planet star all rise east make way westward across sky .,actually sun only rise due east set due west on 2 day year -- spring fall equinox ! on other day sun rise either north ... 5 jul 2016 short sun rise east set west because planet 's rotation . during course year amount daylight ... 17 aug 2018 sun rise east set west no matter where due rotation earth . is thisthe sun rise east set west . course is visual effect caused rotation earth from west east . sun didnt move ... 4 vote simple really earth is flat sun is part rotating cylinder we know ... sun rise east set west because earth rotates about it axis from to.here 's what scientist say about `` sunrise '' `` sunset '' sun stay it position center solar system . it doe n't rise set.the sun rise east set west because earth spin west east . suppose facing east eventually object sky turn ...,6950000.0
is china largest country world,False,,mi mirankcountryarea earth 's area1russia17098242 km11.522canada9984670 km6.733china9706961 km6.54afficher 231lignes supplmentairesthe 30 largest country world total area square kilometer china 9596960 brazil 8515770 australia 7741220 india 3287263.together occupy roughly quarter earth 's landmass . other heavyweight size china brazil australia india argentina kazakhstan . ... top ten largest country square kilometer . 4. china 9596961 5. brazil 8514877 6. australia 7741220 7. india 3287263.russia on other hand is far largest country on earth term surface area extends over length more than 9000 km . 17098250 km it ... is list world 's country dependent territory land water ... dymaxion map world with 30 largest country territory ... 24 aot 2020 russia ha largest area any country world represents 11 world 's land mass . china is larger than 50 state ... largest country world is russia followed canada united state including alaska china fourth position.russia is largest country term area . area covered is 17125000 square kilometre . capital city russia is moscow . 2. canada canada is ...,510.0
football player started wearing helmet 1943,True,,professional amateur alike wear protective headgear helmet reduce chance injury while playing american canadian football football ... did know football player did n't wear helmet until 1943 ! learn something new have fun doing it ! order football colorfoldz now ! ! 1939 college team required player wear helmet . nfl made rule mandatory 1943. around 1962 facemasks became standard well.15 dec 2021 before that picture football game show mix helmeted helmetless player . nfl did n't make helmet mandatory until 1943.27 aug 2019 1943 nfl made it requirement for every player don helmet during game.1 oct 2012 again it 's worth reiterating that helmet were not mandatory . that would n't happen until 1943. during 1920s 1930s variation ... sport american football date 1860s helmet did not become mandatory until 1939 for college player 1943 for national football league ... player college football game must have helmet it wa n't made mandatory piece equipment 1939 it wa n't 1943 until chicago bear ... r.d . griffith 2021 sport recreationdick plasman defensive end from vanderbilt played helmetless for bear . 1943 nfl officially made helmet mandatory everyone wa wearing ... sean mccollum 2018 juvenile nonfiction1943 all nfl player must wear helmet . ... 1960s thick foam padding is added helmet . player start wearing double-bar face mask .,1200000.0
dog sweat panting it tongue,False,most people believe that dog 's tongue contains sweat gland is not true . dog 's tongue mouth associated with many salivary gland that produce different form saliva . some cooling take place panting dog move air across saliva-moistened surface mouth cavity . most people believe that dog 's tongue contains sweat gland is not true . dog 's tongue mouth associated with many salivary gland that produce different form saliva . some cooling take place panting dog move air across saliva-moistened surface mouth cavity . 9 aug 2015,8 mar 2022 panting dog breathes with it mouth open tongue somewhat protruding . panting cooling mechanism is necessary because dog do not ... dog do sweat mainly through gland paw pad . ... dog pant evaporate moisture from tongue nasal passage lining ... 27 jul 2016 dog pant mean evaporative cooling dog get hot it will open it mouth breathe heavily . water evaporates from dog 's ... 13 apr 2021 do dog sweat through tongue we already established that dog pant on hot day though dog do sweat have sweat gland well ... 27 may 2016 it make physiologic sense for dog pant on hot day following exercise . dog do have sweat gland on underside paw ... most dog owner will have noticed dog panting now again ... air over wet tongue also ha similar cooling effect sweat on human skin.14 feb 2020 while sweating through paw help dog cool down little primary way lower body temperature is through panting.19 sept 2018 dog pant heat rise up from chest escape through moisture tongue mouth throat . exhales during panting ... only sweat through paw nose have ever asked dog would start panting middle night for no reason,6230000.0
