question,truthValue,snippet,description,results
regular deck card all king have mustache,False,,everyone know that 4 king deck card . one thing that few people know is that three these king have mustache one doe not . use playing card started 14th century . card which also called playing card biggest attraction card it 4 king . everyone know that 4 king deck card . one thing that few people know is that three these king have mustache one doe not . use playing card started 14th century . card which also called playing card biggest attraction card it 4 king . 6 sept. 202116 sept. 2019 2rponses4 oct. 2018 take look king heart playing card may notice that is quite unique . is only one without moustache . 15 ... il y 2 jours mustache on king diamond standard card deck is considered symbol cunning disguise . addition king spade ... 15 juil . 2021 1rponse21 nov. 2008 king heart is only without moustache - not because superior personal hygiene . originally had one it wa lost ... not sure is true wa told that king standard deck card all based on actual king throughout history . have no evidence ... 24 janv . 2004 most standard english playing card used today derived from ... late night than have all week after eight hour ' sleep nighta list short description court king queen jack on ... public domain because playing card have been around for long ... 25 juin 2022 4 type playing card 4 type playing card betel card brick spade . all have different design king ...,6.0
chinese new year is celebrated on same day every year,False,many people familiar with western world 's new year which fall on january 1st . because it coincides with gregorian calendar it is same date every year . chinese new year coincides with lunar calendar . on lunar calendar first day month begin during new moon . many people familiar with western world 's new year which fall on january 1st . because it coincides with gregorian calendar it is same date every year . chinese new year coincides with lunar calendar . on lunar calendar first day month begin during new moon .,chinese new year start with new moon on first day first lunar month end on full moon 15 day later . first day zhengyue 1 'birthday ... seventh day seventh day seventh day first day chinese new year begin on new moon that appears between 21 january 20 february . chinese new year . kung hei fat choi ! chinese new year also called lunar new year annual 15-day festival china chinese community around world that begin with new moon that ... feb 1 2022 new year celebration is usually celebrated for multiple daysnot just one day gregorian calendar 's new year . 2022 lunar ... jun 14 2022 chinese new year lunar new year spring festival 2023 fall on sunday january 22nd 2023. tiger is new year animal.chinese lunar new year 's day is celebrated every year on first day traditional lunisolar chinese calendar typically occurring between january 21 ... 2. 's no set date for chinese new year . according lunar calendar spring festival is on january 1st last until 15th ...,2680000000.0
national flag america ha star stripe on it .,True,many star stripe on flag 50 star representing 50 state 13 stripe representing 13 original colony . from cia world factbook . many star stripe on flag 50 star representing 50 state 13 stripe representing 13 original colony . from cia world factbook .,designer first star stripe 50 star on flag represent 50 u.s. state 13 stripe represent thirteen british colony ... 7 jun 2022 national flag consisting white star 50 since july 4 1960 on blue canton with field 13 alternating stripe 7 red 6 white.act april 4 1818 provided for 13 stripe one star for each state added flag on 4th july following admission each new state.3 jul 2019 flag united state go different name star stripe red white blue old glory star-spangled ... stripe represent original 13 colony star represent 50 state union . color flag symbolic well red symbolizes ... 50 star blue rectangle on top left flag . these star represent 50 federal state . ha been official flag since hawaii ... united state flag wa first recognized congress 1777 it did not have familiar thirteen stripe fifty star that it doe today . although ... nickname for flag include `` star stripe '' `` old glory '' `` star-spangled banner '' . because it symbolism starred blue canton is ...,13400000.0
power is not ability do work .,True,,7 nov. 2020 3rponses19 juin 2008 some school physic book say that energy is ability do work . is n't work amount energy transferred19 janv . 2022 energy is ability do work . work is actually transfer energy . work is done object energy is transferred . that ... energy is measurement ability something do work . it is not material substance . energy can stored measured many forms.the ability do work is called energy . energy is property matter that can converted work heat radiation.click here get answer question ability do work is called . ... do we say that work is done ... work energy power.energy can defined capacity for doing work . simplest case mechanical work is object is standing still we force it move.11 aot 2018 1rponselearn about work energy power topic physic detail explained subject expert on ... other word ability do carry out work .,1.0
english is one official language philippine,True,1987 constitution declares filipino national language country . filipino english official language with recognition regional language auxiliary official respective region though not specifying any particular language . 1987 constitution declares filipino national language country . filipino english official language with recognition regional language auxiliary official respective region though not specifying any particular language . signed filipino sign language regional aklanon central bikol cebuano c ... official filipino english national filipino,background filipino is austronesian language . it is national language wikang pambansa / pambansang wika philippine one two ... 09-jul-2017 original official language philippine wa spanish for many century it wa replaced with english few decade ago . now english is one ... 31-jul-2019 two official language philippine filipino english . filipino is national language official status english is ... 20-apr-2022 two official language country english filipino . mean that both english filipino used more formal ... english ha always been one official language philippine is spoken more than 14 million filipino . it is language commerce ... philippine is home more than 120 language . tagalog national language philippine is used formal education throughout country is ... english wa introduced philippine during u colonial occupation civil regime early 1900s ha now become second official ... english is another official language philippine . it is taught school various variation same used casual official ...,23700000.0
daily nose sinus create almost one liter mucus,True,1 produce about 1.5 quart mucus day swallow vast majority . most u think mucus something that leak from nose truth is that it also get secreted trachea other tube that carry air through lung where it 's technically called phlegm . 1 produce about 1.5 quart mucus day swallow vast majority . most u think mucus something that leak from nose truth is that it also get secreted trachea other tube that carry air through lung where it 's technically called phlegm . 11-feb-2015,13-mar-2020 nasal mucus is created within membrane nose sinus passage . body produce more than liter mucus every day ... 13-may-2016 body produce more than liter mucus each day something is n't working right it can sure seem like lot snot.19-may-2022 we all make mucus phlegm much can overwhelming . home remedy like using humidifier staying hydrated can help.12-feb-2020 average person produce more than liter mucus each day . 're feeling well probably do n't even notice that 're constantly ... infection can make mucus thicker stickier . infection also lead inflammation mucous membrane that line nose rest airway.31-aug-2017 healthy mucus-making tissue lining mouth nose throat sinus lung gastrointestinal tract churn out 1 1.5 liter ... 25-jan-2018 source antiseptic enzyme mucus shield sinus ... typically body can produce liter sticky stuff each day.the body produce lot mucus -- about 1 1.5 liter per day . we do n't tend notice mucus all unless it production is increased quality ... nose throat lined with mucous membrane called mucosa . these gland produce roughly 1.5 liter healthy mucus per day . typically clear color ...,1120000.0
equator is line that pass through middle earth .,True,equator is invisible line that run around center earth 0 degree latitude . equator is imaginary line around middle planet other celestial body . it is halfway between north pole south pole 0 degree latitude . equator is invisible line that run around center earth 0 degree latitude . equator is imaginary line around middle planet other celestial body . it is halfway between north pole south pole 0 degree latitude . may 19 2022,equator is circle latitude about 40075 km 24901 mi circumference that divide earth northern southern hemispheres.the equator is imaginary line around middle earth . it is halfway between north south pole divide earth northern ... earth 's equator is imaginary line that run around center globe 0 degree latitude equal distance between north south poles.the equator is huge circle imagination that is assumed middle earth . length earth 's equator is exactly 40075.16.jan 29 2020 jan 29 2020 equator thus qualifies great circle because it pass through exact center earth divide it half . other line ... equator is only line latitude which is also great circlethat is one whose plane pass through centre globe . earth is widest ... oct 12 2021 equator pass through 13 country ecuador colombia brazil sao tome principe gabon republic congo democratic republic ... equator . imaginary circle go around middle earth for 24902 mile . it divide northern hemisphere from southern hemisphere ...,7560000.0
it is illegal feed pigeon italian city venice,True,,starting on wednesday it 's illegal . sale distribution grain feed bird is now banned ending tradition that attracted pigeon droppings most picturesque part lagoon city . fine for ignoring ban start 50 euro 78 mayor 's office said . starting on wednesday it 's illegal . sale distribution grain feed bird is now banned ending tradition that attracted pigeon droppings most picturesque part lagoon city . fine for ignoring ban start 50 euro 78 mayor 's office said . 30 avr . 200827 oct. 2017 feeding pigeon venice is illegal under italian law meaning could landed with hefty fine.8 mai 2008 vendor fear city 's decision will put end century-old tradition . `` child cry because ca n't feed bird '' said ... 15 mai 2008 new law that went effect may 1 ban pigeon feeding st. mark 's square throughout city . ban ha caused quite uproar.did know that it 's illegal feed pigeon veniceitalyhttps//www.youtube.com watchhttps//www.youtube.com watch17 sept. 2007 city spokeswoman said `` rice ban wa already on book will no more turning blind eye for wedding since it wa ... 7 avr . 2021 pigeon feeding is now banned many city around world . official banned common practice san marco venice bid stop ... these bird rival cat unofficial mascot venice could fined 1000000 lira for feeding pigeon outside designated areas.10 juil . 2018 venice italy-ten year after ban wa placed on public feeding 'holy pigeon ' st mark 's square italian city not ... paying fine for feeding venice pigeon italian city venice gave up ... it became forbidden now sell seed feed bird stop ...,84.0
philippine is archipelagic country that ha most number island,False,,philippine one most renowned archipelago comprised 7641 island southeast asian mainland between taiwan borneo . philippine one most renowned archipelago comprised 7641 island southeast asian mainland between taiwan borneo . 2020/10/05 peru 233 8 philippine 7641 2000 russia 1338 samoa 12 4 ... 3 philippine island country southeast asia western pacific ocean . it is archipelago consisting more than 7000 island ... 2018/10/09 chart show estimated number island country.the country ha over hundred ethnic group mixture foreign influence which have ... most smaller island mountainous interior ... we hear word 'island ' we think azure water shallow sandy beach . no mean every island is really inviting for swim . northernmost ... 2017/03/30 country 's archipelagic nature ha always been part national ... most u never really counted philippine island ... country can divided three main area luzon largest ... since philippine ha thousand island visitor never far from ... philippine is archipelago consisting 7100 island with total ... country ha tropical climate with two distinct seasons-wet dry .,130000.0
borneo is divided three nation,True,,borneo is third largest island world after greenland new guinea . hark back school geography may remember however that it is not one country island split between three indonesia malaysia brunei . borneo is third largest island world after greenland new guinea . hark back school geography may remember however that it is not one country island split between three indonesia malaysia brunei.13 apr . 2015 week 's maphead column ken jennings look island borneo which is technically divided between three different country ... island is politically divided brunei indonesia sarawak sabah . approximately about 73 75 island is indonesian territory while rest ... 9 nov. 2016 borneo kalimantan island is shared three country . malaysia indonesia brunei . indonesia ha most landmass kalimantan while brunei ha ... borneo island extreme southwestern part pacific ocean . ... it territory divided five province central kalimantan east kalimantan ... 20 aug. 2021 borneo ha distinction being only island world that is shared three country malaysia indonesia brunei.borneo is large island southeast asia that is divided among three country malaysia indonesia brunei . indonesian borneo kalimantan account ... 1149 youtube name explain 5 maj 2020 5 maj 2020 saknas divided threeborneo is only island world divided between nation . today borneo is administered three neighbouring asean-member countries.it is divided four political region kalimantan belongs indonesia ... it wa these two latter nation that held power borneo from 17th ...,690.0
